ADM2_ES,ADM2_PCODE,ADM2_REF,ADM1_ES,ADM1_PCODE,ADM1_REF,ADM0_ES,ADM0_EN,ADM0_PCODE,pop_munid_
Libertad,VE2015,Libertad,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,45914.964697361
Libertador,VE0101,Libertador,Distrito Capital,VE01,Distrito Capital,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,1859254.29956245
Libertador,VE0507,Libertador,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,47029.1825332642
Libertador,VE0806,Libertador,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,287782.740837097
Libertador,VE1412,Libertador,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,237146.173584461
Libertador,VE1607,Libertador,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,45690.7705575228
Libertador,VE1909,Libertador,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,10871.6684532166
Libertador,VE2016,Libertador,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,29727.1239819527
Lima Blanco,VE0904,Lima Blanco,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,5400.22566640377
Lobatera,VE2017,Lobatera,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,22510.6997551918
Los Guayos,VE0807,Los Guayos,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,162312.91966629
Los Salías,VE1513,Los Salias,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,88278.9983119965
Los Taques,VE1112,Los Taques,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,52967.7448740005
Macanao,VE1709,Peninsula de Macanao,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,16875.4186011553
Machiques De Perija,VE2311,Machiques de Perija,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,157133.321609497
Manapiare,VE0206,Autonomo Manapiare,Amazonas,VE02,Amazonas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,10135.686712265
Maneiro,VE1706,Maneiro,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,77373.706237793
Manuel Ezequiel Bruzual,VE0312,Manuel Ezequiel Bruzual,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,38760.8463840485
Manuel Monge,VE2208,Manuel Monge,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,13530.7751531601
Mara,VE2312,Mara,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,307237.854640961
Maracaibo,VE2313,Maracaibo,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,1805813.38776207
Marcano,VE1707,Marcano,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,28423.7910423279
Mariño,VE1708,Marino,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,133628.224578857
Mariño,VE1910,Marino,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17108.5966081619
Mario Briceño Iragorri,VE0508,Mario Briceno Iragorry,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,64405.4858112335
Maturín,VE1608,Maturin,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,688307.261310577
Mauroa,VE1113,Mauroa,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,29154.9151153564
Mejía,VE1911,Mejia,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,13589.291762352
Michelena,VE2018,Michelena,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,21421.2395839691
Miranda,VE0808,Miranda,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,16621.2246179581
Miranda,VE1114,Miranda,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,220946.492572784
Miranda,VE1413,Miranda,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,23757.7571120262
Miranda,VE2110,Miranda,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,42507.3519630432
Miranda,VE2314,Miranda,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,120547.266607285
Monseñor Iturriza,VE1115,Monsenor Iturriza,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,18941.4449167252
Monseñor José Vicente De Und,VE1806,Monsenor Jose Vicente de Unda,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,33839.9473381042
Montalbán,VE0809,Montalban,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,39777.6761159897
Monte Carmelo,VE2111,Monte Carmelo,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,8893.22756195068
Montes,VE1912,Montes,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,59459.2049636841
Moran,VE1305,Moran,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,141171.611920357
Motatan,VE2112,Motatan,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,39527.8482656479
Muñoz,VE0403,Munoz,Apure,VE04,Apure,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,24146.2345085144
Naguanagua,VE0810,Naguanagua,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,279402.21487236
Nirgua,VE2209,Nirgua,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,49857.7264842987
Obispo Ramos De Lora,VE1414,Obispo Ramos de Lora,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,29567.4471111298
Obispos,VE0608,Obispos,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,50148.906293869
Ocumare De La Costa De Oro,VE0518,Ocumare de La Costa De Oro,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,15415.0705776215
Ortiz,VE1210,Ortiz,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,26422.2115840912
Ospino,VE1807,Ospino,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,53238.2458429337
Padre Noguera,VE1415,Padre Noguera,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,1251.43322467804
Padre Pedro Chien,VE0711,Padre Pedro Chien,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17214.6737146378
Páez,VE0404,Paez,Apure,VE04,Apure,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,91236.5593485832
Páez,VE1514,Paez,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,43849.623298645
Páez,VE1808,Paez,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,141923.318201065
Palavecino,VE1306,Palavecino,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,140108.971618652
Palmasola,VE1116,Palmasola,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,31484.7740707397
Pampan,VE2113,Pampan,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,69965.6644296646
Pampanito,VE2114,Pampanito,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,62887.3724184036
Panamericano,VE2019,Panamericano,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,31386.9609732628
Pao De San Juan Bautista,VE0905,Pao de San Juan Bautista,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,25966.6674060822
Papelón,VE1809,Papelon,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,27363.3121643066
Paz Castillo,VE1515,Paz Castillo,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,190370.717370987
Pedernales,VE1003,Pedernales,Delta Amacuro,VE10,Delta Amacuro,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,11705.9796829224
Pedraza,VE0609,Pedraza,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,64310.7224502563
Pedro Camejo,VE0405,Pedro Camejo,Apure,VE04,Apure,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,56114.8415307999
Pedro Gual,VE1516,Pedro Gual,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17957.5157928467
Pedro María Freites,VE0313,Pedro Maria Freites,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,44229.6605699062
Pedro María Ureña,VE2020,Pedro Maria Urena,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,48951.0977888107
Pedro Zaraza,VE1215,Pedro Zaraza,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,58190.7703399658
Peña,VE2210,Pena,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,109880.51951313
Petit,VE1117,Petit,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,16757.6096906662
Piar,VE0706,Piar,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,138453.341183662
Piar,VE1609,Piar,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,65535.2755813599
Piritu,VE0314,Piritu,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,23513.9304771423
Piritu,VE1118,Piritu,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,11372.336063385
Plaza,VE1517,Plaza,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,267175.888526917
Pueblo Llano,VE1416,Pueblo Llano,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,9071.98329925537
Puerto Cabello,VE0811,Puerto Cabello,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,233862.169819355
Punceres,VE1610,Punceres,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,33162.0318012238
Rafael Rangel,VE2115,Rafael Rangel,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,31898.1054887772
Rafael Urdaneta,VE2021,Rafael Urdaneta,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,5878.92526054382
Rangel,VE1417,Rangel,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,29954.2923321724
Ribero,VE1913,Ribero,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,54175.2047429085
Ricaurte,VE0906,Ricaurte,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,12972.6457276344
Rivas Dávila,VE1418,Rivas Davila,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,33821.8734760284
Rojas,VE0610,Rojas,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,47291.4186372757
Rómulo Gallegos,VE0406,Romulo Gallegos,Apure,VE04,Apure,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,34578.8871679306
Rómulo Gallegos,VE0907,Romulo Gallegos,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,6937.8727183342
Rosario De Perija,VE2316,Rosario de Perija,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,103414.607182503
Roscio,VE0708,Roscio,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,5423.97936367989
Samuel Darío Maldonado,VE2022,Samuel Dario Maldonado,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,24738.2662758827
San Casimiro,VE0509,San Casimiro,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,30707.4700222015
San Cristóbal,VE2023,San Cristobal,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,344323.04419899
San Diego,VE0812,San Diego,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,125154.463581085
San Felipe,VE2211,San Felipe,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,136776.186822653
San Fernando,VE0407,San Fernando,Apure,VE04,Apure,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,170475.03556633
San Francisco,VE1119,San Francisco,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,14349.0487289429
San Francisco,VE2317,San Francisco,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,442974.084258556
San Genaro De Boconoito,VE1810,San Genaro de Boconoito,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,42801.0851078033
San Gerónimo De Guayabal,VE1204,San Geronimo de Guayabal,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,22609.0821523666
San Joaquín,VE0813,San Joaquin,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,81808.8389129639
San José De Guanipa,VE0315,San Jose de Guanipa,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,66796.3060905933
San José De Guaribe,VE1213,San Jose de Guaribe,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,12900.3203783035
San Juan De Capistrano,VE0316,San Juan de Capistrano,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,14962.5370807648
San Judas Tadeo,VE2029,San Judas Tadeo,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,6784.53981208801
San Rafael De Carvajal,VE2116,San Rafael de Carvajal,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,61107.9783782959
San Rafael De Onoto,VE1811,San Rafael de Onoto,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,39746.7503929138
San Sebastián,VE0510,San Sebastian,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,38438.1169757843
Santa Ana,VE0317,Santa Ana,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,13647.4377737045
Santa Babara,VE1611,Santa Barbara,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,6606.74294185638
Santa María De Ipire,VE1214,Santa Maria de Ipire,Guárico,VE12,Guarico,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,11235.6313323975
Santa Rita,VE2318,Santa Rita,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,85598.0684719086
Santa Rosalía,VE1812,Santa Rosalia,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,17568.5563182831
Santiago Mariño,VE0511,Santiago Marino,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,308988.817543983
Santos Marquina,VE1419,Santos Marquina,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,42920.2933578491
Santos Michelena,VE0512,Santos Michelena,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,71076.6918458939
Seboruco,VE2024,Seboruco,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,11485.9377632141
Sifontes,VE0709,Sifontes,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,114423.263160229
Silva,VE1120,Silva,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,37040.8943934441
Simón Bolívar,VE0318,Simon Bolivar,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,439923.247936249
Simón Bolívar,VE1518,Simon Bolivar,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,62317.6274814606
Simón Bolívar,VE2319,Simon Bolivar,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,48033.5529489517
Simón Planas,VE1307,Simon Planas,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,45990.8447170258
Simón Rodríguez,VE0319,Simon Rodriguez,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,269897.014595509
Simón Rodríguez,VE2025,Simon Rodriguez,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,365.64048576355
Sir Arthur Mc Gregor,VE0320,Sir Arthur Mc Gregor,Anzoátegui,VE03,Anzoategui,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,15881.0424547195
Sosa,VE0611,Sosa,Barinas,VE06,Barinas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,26528.886636734
Sotillo,VE1612,Sotillo,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,12209.0280275345
Sucre,VE0513,Sucre,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,92002.8864812851
Sucre,VE0710,Sucre,Bolívar,VE07,Bolivar,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,46815.7984170914
Sucre,VE1121,Sucre,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,5668.10880279541
Sucre,VE1420,Sucre,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,88760.1535315514
Sucre,VE1519,Sucre,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,766106.009426117
Sucre,VE1813,Sucre,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,27422.3496208191
Sucre,VE1914,Sucre,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,422650.829837799
Sucre,VE2026,Sucre,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,6646.95639848709
Sucre,VE2117,Sucre,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,22073.3505840302
Sucre,VE2212,Sucre,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,52892.001449585
Sucre,VE2320,Sucre,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,132641.795528412
Tinaco,VE0909,Tinaco,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,34382.841053009
Tinaquillo,VE0902,Tinaquillo,Cojedes,VE09,Cojedes,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,132668.019475102
Tocopero,VE1122,Tocopero,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,6311.71239089966
Torbes,VE2027,Torbes,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,60030.1674661636
Torres,VE1308,Torres,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,216186.550235748
Tovar,VE0514,Tovar,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,14460.818198204
Tovar,VE1421,Tovar,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,35578.8131999969
Trujillo,VE2118,Trujillo,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,24014.7422924042
Tubores,VE1710,Tubores,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,39528.3917568922
Tucupita,VE1004,Tucupita,Delta Amacuro,VE10,Delta Amacuro,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,147560.126173019
Tulio Febres Cordero,VE1422,Tulio Febres Cordero,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,15573.2280025482
Turen,VE1814,Turen,Portuguesa,VE18,Portuguesa,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,61021.0214948654
Unión,VE1123,Union,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,21386.8984985352
Urachiche,VE2213,Urachiche,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,38176.9070529938
Uracoa,VE1613,Uracoa,Monagas,VE16,Monagas,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,9951.75047302246
Urdaneta,VE0515,Urdaneta,Aragua,VE05,Aragua,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,27325.8806018829
Urdaneta,VE1309,Urdaneta,Lara,VE13,Lara,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,63365.7206802368
Urdaneta,VE1520,Urdaneta,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,99810.890291214
Urdaneta,VE2119,Urdaneta,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,31803.1822509766
Uribante,VE2028,Uribante,Táchira,VE20,Tachira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,19496.6693458557
Urumaco,VE1124,Urumaco,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,8068.50640773773
Valdez,VE1915,Valdez,Sucre,VE19,Sucre,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,48639.3170032501
Valencia,VE0814,Valencia,Carabobo,VE08,Carabobo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,765718.466228485
Valera,VE2120,Valera,Trujillo,VE21,Trujillo,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,132872.368473053
Valmore Rodríguez,VE2321,Valmore Rodriguez,Zulia,VE23,Zulia,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,58241.2622890472
Vargas,VE2401,Vargas,La Guaira,VE24,La Guaira,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,382295.899476051
Veroes,VE2214,Veroes,Yaracuy,VE22,Yaracuy,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,108328.438454628
Villalba,VE1711,Villalba,Nueva Esparta,VE17,Nueva Esparta,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,6705.71413397789
Zamora,VE1125,Zamora,Falcón,VE11,Falcon,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,41763.6463813782
Zamora,VE1521,Zamora,Miranda,VE15,Miranda,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,239894.085177422
Zea,VE1423,Zea,Mérida,VE14,Merida,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,9085.85523033142
